model,lead_group,stratum_type,stratum,n,coverage68,wilson68_lo,wilson68_hi,coverage90,wilson90_lo,wilson90_hi,truth
best_match,all,all,all cases,3087,0.6786524133462909,0.6619654237585895,0.6948953258701609,0.9002267573696145,0.8891520667972614,0.9103066025886337,grid
best_match,all,forecast_bin,f = 0,1311,0.9916094584286804,0.9850378783412954,0.995308452612337,1.0,0.9970783862530738,0.9999999999999999,grid
best_match,all,forecast_bin,0 < f < 10,706,0.7322946175637394,0.698441670707277,0.7636333404042536,0.9730878186968839,0.958350730717372,0.9827044748390381,grid
best_match,all,forecast_bin,f >= 10,1070,0.25981308411214954,0.23442938802530322,0.28691522411560477,0.7299065420560747,0.7025149960954499,0.7556531961743426,grid
best_match,all,city_group,Centre-south,1617,0.601113172541744,0.5770337230811198,0.6247133375016565,0.9029066171923315,0.8875058005873988,0.9163976243036018,grid
best_match,all,city_group,Coquimbo coast,294,0.7619047619047619,0.7100384245550819,0.8070151803340089,0.8741496598639455,0.8313478910305485,0.9073001159538667,grid
best_match,all,city_group,Coquimbo interior,1029,0.7628765792031098,0.7359418928484975,0.7878558259088173,0.9008746355685131,0.8810982608419372,0.9176690551927852,grid
best_match,1-3,all,all cases,1323,0.6795162509448224,0.6538814398351873,0.7041115945402143,0.9002267573696145,0.8829006358710266,0.915235413399606,grid
best_match,1-3,forecast_bin,f = 0,604,0.9900662251655629,0.9784986400714101,0.9954395330330511,1.0,0.993680163099822,1.0,grid
best_match,1-3,forecast_bin,0 < f < 10,273,0.7289377289377289,0.6733031818742977,0.77821878490452,0.967032967032967,0.9385440391884764,0.982560773040312,grid
best_match,1-3,forecast_bin,f >= 10,446,0.22869955156950672,0.19213554537947483,0.2698971436442843,0.7242152466367713,0.6809573919079902,0.7636436915434485,grid
best_match,1-3,city_group,Centre-south,693,0.6017316017316018,0.5648193062457624,0.6375222711718046,0.9076479076479076,0.8837872606961052,0.9270140956225137,grid
best_match,1-3,city_group,Coquimbo coast,126,0.7777777777777778,0.6975794504830436,0.8415395689974413,0.8571428571428571,0.7854668212674254,0.9076862037789122,grid
best_match,1-3,city_group,Coquimbo interior,441,0.7619047619047619,0.7199989194723194,0.7992872113234194,0.9047619047619048,0.8737651846068627,0.9287679266229157,grid
best_match,4-7,all,all cases,1764,0.6780045351473923,0.6558338147133976,0.699401660077087,0.9002267573696145,0.8853596158804667,0.9133545408140623,grid
best_match,4-7,forecast_bin,f = 0,707,0.9929278642149929,0.9835525311879655,0.9969755335325711,1.0,0.9945958992215486,1.0,grid
best_match,4-7,forecast_bin,0 < f < 10,433,0.7344110854503464,0.6908831794735465,0.7738163033087452,0.976905311778291,0.9580150967754091,0.9874079888851155,grid
best_match,4-7,forecast_bin,f >= 10,624,0.28205128205128205,0.24816026820537399,0.31860934193687984,0.7339743589743589,0.6979490458306195,0.7671365197519611,grid
best_match,4-7,city_group,Centre-south,924,0.6006493506493507,0.5687162214139173,0.6317490609030222,0.8993506493506493,0.8782678514602118,0.9171266557973223,grid
best_match,4-7,city_group,Coquimbo coast,168,0.75,0.6794287691571197,0.8093938964955574,0.8869047619047619,0.8301195160460959,0.9263917522259042,grid
best_match,4-7,city_group,Coquimbo interior,588,0.7636054421768708,0.7276223759577289,0.796166546477622,0.8979591836734694,0.8708526133014066,0.9198996954074455,grid
ecmwf_ifs025,all,all,all cases,3087,0.6786524133462909,0.6619654237585895,0.6948953258701609,0.9005506964690638,0.8894908355324843,0.9106149068355119,grid
ecmwf_ifs025,all,forecast_bin,f = 0,1335,0.9925093632958801,0.9862662889087053,0.9959261815117899,0.9992509363295881,0.9957691704611613,0.9998677596304888,grid
ecmwf_ifs025,all,forecast_bin,0 < f < 10,669,0.7249626307922272,0.6899137886478741,0.7574427112034572,0.9566517189835575,0.9384382162267257,0.9696508914449133,grid
ecmwf_ifs025,all,forecast_bin,f >= 10,1083,0.2631578947368421,0.23780219261751112,0.29018784143212906,0.7442289935364728,0.7174129564918255,0.7693185678507484,grid
ecmwf_ifs025,all,city_group,Centre-south,1617,0.5992578849721707,0.5751644049308787,0.622880874723773,0.8979591836734694,0.8822493950111743,0.9117826140714949,grid
ecmwf_ifs025,all,city_group,Coquimbo coast,294,0.7653061224489796,0.7136319093822786,0.8101366773884885,0.891156462585034,0.8503835720668589,0.921839344325939,grid
ecmwf_ifs025,all,city_group,Coquimbo interior,1029,0.7687074829931972,0.7419733029706005,0.7934428494744922,0.9076773566569485,0.8884417574136639,0.9238803979234659,grid
ecmwf_ifs025,1-3,all,all cases,1323,0.6787603930461074,0.6531122114352643,0.7033734838480306,0.9002267573696145,0.8829006358710266,0.915235413399606,grid
ecmwf_ifs025,1-3,forecast_bin,f = 0,615,0.991869918699187,0.9811108120866574,0.9965224594360396,0.9983739837398374,0.9908477431071552,0.9997129105183213,grid
ecmwf_ifs025,1-3,forecast_bin,0 < f < 10,256,0.734375,0.6770967577693456,0.7847233094233186,0.96484375,0.9345472292671926,0.981395903998258,grid
ecmwf_ifs025,1-3,forecast_bin,f >= 10,452,0.22123893805309736,0.1854114543782135,0.2617647620667624,0.7300884955752213,0.6873522659571066,0.768946729993072,grid
ecmwf_ifs025,1-3,city_group,Centre-south,693,0.6031746031746031,0.5662766559546155,0.6389350147596544,0.9004329004329005,0.8758848267891155,0.9205660630459882,grid
