city,station_id,network,total_mm,n_reported,coverage_pc,mean_mm,peer_median_mean_mm,n_peers,ratio_to_peers,exclusion,used,gauges_disagree
andacollo,300034,dmc,316.7,6,100.0,52.78333333333333,35.733333333333334,5,1.4771455223880596,,True,False
andacollo,3,ceazamet,201.1,6,100.0,33.516666666666666,44.041666666666664,5,0.7610217596972564,,True,False
andacollo,9,ceazamet,214.4,6,100.0,35.733333333333334,44.041666666666664,5,0.811352885525071,,True,False
andacollo,ANDA,ceazamet,264.25,6,100.0,44.041666666666664,35.733333333333334,5,1.232509328358209,,True,False
andacollo,LCAR,ceazamet,322.4,6,100.0,53.73333333333333,35.733333333333334,5,1.503731343283582,,True,False
andacollo,PICHA,ceazamet,211.5,6,100.0,35.25,44.041666666666664,5,0.8003784295175024,,True,False
chillan,360011,dmc,78.2,6,100.0,13.033333333333333,13.266666666666666,1,0.9824120603015076,,True,False
chillan,360097,dmc,79.6,6,100.0,13.266666666666666,13.033333333333333,1,1.0179028132992327,,True,False
combarbala,310024,dmc,303.7,6,100.0,50.61666666666667,50.699999999999996,1,0.9983563445101907,,True,False
combarbala,COMB,ceazamet,304.2,6,100.0,50.699999999999996,50.61666666666667,1,1.0016463615409943,,True,False
concepcion,360019,dmc,101.80000000000001,6,100.0,16.96666666666667,,0,,,True,False
coquimbo,290004,dmc,176.0,6,100.0,29.333333333333332,31.975,6,0.9173833724263747,,True,False
coquimbo,3,ceazamet,201.1,6,100.0,33.516666666666666,29.883333333333333,6,1.1215839375348577,,True,False
coquimbo,4,ceazamet,182.6,6,100.0,30.433333333333334,31.424999999999997,6,0.9684433837178468,,True,False
coquimbo,5,ceazamet,212.8,6,100.0,35.46666666666667,29.883333333333333,6,1.1868377021751255,,True,False
coquimbo,9,ceazamet,214.4,6,100.0,35.733333333333334,29.883333333333333,6,1.195761293920803,,True,False
coquimbo,CGR,ceazamet,140.97,6,100.0,23.495,31.975,6,0.7347928068803753,,True,False
coquimbo,LSC,ceazamet,128.4,5,83.33333333333333,25.68,31.975,6,0.8031274433150899,,True,False
curico,340031,dmc,171.8,6,100.0,28.633333333333336,,0,,,True,False
illapel,310040,dmc,97.1,2,33.333333333333336,48.55,40.15,3,1.2092154420921544,insufficient_coverage,False,False
illapel,CHHT,ceazamet,317.09999999999997,6,100.0,52.849999999999994,39.90833333333333,2,1.3242848193777406,,True,False
illapel,CHLC,ceazamet,0.0,0,0.0,,40.15,3,,insufficient_coverage,False,False
illapel,INILLA,ceazamet,240.89999999999998,6,100.0,40.15,46.258333333333326,2,0.8679517204107369,,True,False
illapel,MIN,ceazamet,238.0,6,100.0,39.666666666666664,46.5,2,0.8530465949820788,,True,False
la_serena,290004,dmc,176.0,6,100.0,29.333333333333332,31.975,6,0.9173833724263747,,True,False
la_serena,3,ceazamet,201.1,6,100.0,33.516666666666666,29.883333333333333,6,1.1215839375348577,,True,False
la_serena,4,ceazamet,182.6,6,100.0,30.433333333333334,31.424999999999997,6,0.9684433837178468,,True,False
la_serena,5,ceazamet,212.8,6,100.0,35.46666666666667,29.883333333333333,6,1.1868377021751255,,True,False
la_serena,9,ceazamet,214.4,6,100.0,35.733333333333334,29.883333333333333,6,1.195761293920803,,True,False
la_serena,CGR,ceazamet,140.97,6,100.0,23.495,31.975,6,0.7347928068803753,,True,False
la_serena,LSC,ceazamet,128.4,5,83.33333333333333,25.68,31.975,6,0.8031274433150899,,True,False
los_vilos,INIA221,ceazamet,238.4,6,100.0,39.733333333333334,14.266666666666667,1,2.7850467289719627,,True,True
los_vilos,LVIL,ceazamet,85.60000000000001,6,100.0,14.266666666666667,39.733333333333334,1,0.3590604026845638,,True,True
monte_patria,300024,dmc,185.0,6,100.0,30.833333333333332,45.50933333333333,4,0.6775166998710888,,True,False
monte_patria,300047,dmc,253.3,6,100.0,42.21666666666667,45.50933333333333,4,0.9276485409586313,,True,False
monte_patria,INIA229,ceazamet,297.7,5,83.33333333333333,59.54,43.8,4,1.3593607305936073,,True,False
monte_patria,INIA66,ceazamet,272.3,6,100.0,45.38333333333333,43.926,4,1.033177009819545,,True,False
monte_patria,RPL,ceazamet,273.812,6,100.0,45.635333333333335,43.8,4,1.041902587519026,,True,False
osorno,400013,dmc,27.8,6,100.0,4.633333333333334,,0,,,True,False
ovalle,300024,dmc,185.0,6,100.0,30.833333333333332,34.233333333333334,4,0.9006815968841285,,True,False
ovalle,300047,dmc,253.3,6,100.0,42.21666666666667,31.458333333333336,4,1.3419867549668874,,True,False
ovalle,INIA319,ceazamet,192.5,6,100.0,32.083333333333336,33.608333333333334,4,0.954624349119762,,True,False
ovalle,INIA64,ceazamet,67.5,6,100.0,11.25,34.233333333333334,4,0.32862706913339823,disagrees_with_peers,False,False
ovalle,TLH,ceazamet,218.3,6,100.0,36.38333333333333,31.458333333333336,4,1.1565562913907284,,True,False
puerto_montt,410005,dmc,23.4,6,100.0,3.9,6.233333333333333,2,0.6256684491978609,,True,False
puerto_montt,410027,dmc,31.0,5,83.33333333333333,6.2,5.083333333333333,2,1.2196721311475411,,True,False
puerto_montt,410040,dmc,37.6,6,100.0,6.266666666666667,5.05,2,1.240924092409241,,True,False
puerto_montt,RLCV,ceazamet,0.0,0,0.0,,6.2,3,,insufficient_coverage,False,False
rancagua,340045,dmc,23.2,6,100.0,3.8666666666666667,27.133333333333336,1,0.1425061425061425,,True,True
rancagua,340048,dmc,136.8,2,33.333333333333336,68.4,15.500000000000002,2,4.412903225806452,insufficient_coverage,False,False
rancagua,340093,dmc,162.8,6,100.0,27.133333333333336,3.8666666666666667,1,7.017241379310345,,True,True
salamanca,310040,dmc,97.1,2,33.333333333333336,48.55,50.25,3,0.9661691542288556,insufficient_coverage,False,False
salamanca,CHHT,ceazamet,317.09999999999997,6,100.0,52.849999999999994,45.2,2,1.1692477876106193,,True,False
salamanca,CHILL,ceazamet,301.5,6,100.0,50.25,46.5,2,1.0806451612903225,,True,False
salamanca,CHLC,ceazamet,0.0,0,0.0,,50.25,3,,insufficient_coverage,False,False
salamanca,INILLA,ceazamet,240.89999999999998,6,100.0,40.15,51.55,2,0.7788554801163918,,True,False
santiago,330020,dmc,132.5,6,100.0,22.083333333333332,20.25,6,1.0905349794238683,,True,False
santiago,330021,dmc,121.10000000000001,6,100.0,20.183333333333334,21.2,6,0.9520440251572327,,True,False
santiago,330071,dmc,136.9,6,100.0,22.816666666666666,20.25,6,1.1267489711934155,,True,False
santiago,330111,dmc,1.4000000000000001,6,100.0,0.23333333333333336,21.2,6,0.011006289308176102,disagrees_with_peers,False,False
santiago,330114,dmc,121.89999999999999,6,100.0,20.316666666666666,21.133333333333333,6,0.9613564668769716,,True,False
santiago,330118,dmc,45.6,4,66.66666666666667,11.4,21.2,6,0.5377358490566038,,True,False
santiago,330122,dmc,153.2,6,100.0,25.53333333333333,20.25,6,1.2609053497942386,,True,False
talca,350028,dmc,136.9,6,100.0,22.816666666666666,,0,,,True,False
temuco,380013,dmc,25.4,6,100.0,4.233333333333333,4.366666666666666,3,0.9694656488549619,,True,False
temuco,380029,dmc,26.2,6,100.0,4.366666666666666,4.366666666666666,3,1.0,,True,False
temuco,380032,dmc,32.3,6,100.0,5.383333333333333,4.366666666666666,3,1.2328244274809161,,True,False
temuco,380033,dmc,26.2,6,100.0,4.366666666666666,4.366666666666666,3,1.0,,True,False
valdivia,390006,dmc,241.2,3,50.0,80.39999999999999,11.25,1,7.146666666666666,insufficient_coverage,False,False
valdivia,390015,dmc,45.0,4,66.66666666666667,11.25,,0,,,True,False
valdivia,390043,dmc,0.0,1,16.666666666666668,0.0,11.25,1,0.0,insufficient_coverage,False,False
valparaiso,320041,dmc,107.8,4,66.66666666666667,26.95,39.56666666666667,2,0.681128896377422,,True,False
valparaiso,330006,dmc,225.4,6,100.0,37.56666666666667,34.25833333333333,2,1.0965701775723669,,True,False
valparaiso,330007,dmc,249.4,6,100.0,41.56666666666667,32.25833333333333,2,1.2885559287005943,,True,False
vicuna,300034,dmc,316.7,6,100.0,52.78333333333333,32.4,4,1.6291152263374487,,True,False
vicuna,300046,dmc,155.8,6,100.0,25.96666666666667,38.43333333333334,4,0.6756287944492628,,True,False
vicuna,6,ceazamet,164.5,6,100.0,27.416666666666668,38.43333333333334,4,0.7133564614050303,,True,False
vicuna,8,ceazamet,224.29999999999998,6,100.0,37.38333333333333,33.45,4,1.1175884404583956,,True,False
vicuna,ALG,ceazamet,236.9,6,100.0,39.483333333333334,32.4,4,1.2186213991769548,,True,False
vicuna,PYRV,ceazamet,0.0,0,0.0,,37.38333333333333,5,,insufficient_coverage,False,False
