bin_lo_mm,bin_hi_mm,n,gauge_mean_mm,grid_mean_mm,ratio,excess_mm_total
0,1.0,240,0.06456285714285714,0.1375,2.1297074832942426,17.504914285714285
1,5.0,27,1.5342592592592594,3.3703703703703702,2.196741098370549,49.574999999999996
5,15.0,47,7.065744680851062,11.727659574468086,1.6597910205064899,219.11000000000013
15,40.0,77,21.139436920222636,27.272727272727273,1.2901349915634386,472.2633571428571
40,inf,47,57.24852968591693,71.55744680851063,1.2499438361316322,672.5191047619041
