subset,city,n,station_mean_mm,era5_mean_mm,bias_mm,bias_pc,mae_mm,pearson_r,pearson_r_sqrt,spearman
all cities,(pooled),186,10.753225806451612,15.210215053763443,4.456989247311828,41.44792760361984,5.4994623655913975,0.8998961049222888,0.9549460061909797,0.9037968162583164
all cities,andacollo,21,12.595238095238095,17.16190476190476,4.566666666666667,36.257088846880904,4.580952380952381,0.9690457267289249,0.9856609457345423,0.8993150282147812
all cities,combarbala,21,14.495238095238097,16.923809523809524,2.4285714285714284,16.75427069645201,2.4285714285714284,0.9974527355053752,0.9975192824223399,0.9663407871708692
all cities,illapel,21,11.485714285714286,13.685714285714287,2.1999999999999997,19.15422885572142,4.590476190476191,0.9204730039862078,0.964597110966588,0.8042241216525817
all cities,la_serena,18,7.133333333333334,15.827777777777776,8.694444444444445,121.8847352024922,9.516666666666667,0.7283919162180854,0.92164497234361,0.9287231943789301
all cities,los_vilos,21,4.085714285714286,13.742857142857142,9.657142857142858,236.3636363636363,9.666666666666668,0.8392355992367063,0.9333458109559419,0.9017440203227692
all cities,monte_patria,21,12.980952380952383,17.314285714285717,4.333333333333333,33.38224504768892,4.333333333333333,0.9650234846880764,0.9872711854511359,0.9401691290186024
all cities,ovalle,21,10.519047619047619,14.642857142857142,4.123809523809523,39.20325939339067,4.2666666666666675,0.9584780719805515,0.9796096841309967,0.9098639455782311
all cities,salamanca,21,15.123809523809525,14.895238095238094,-0.2285714285714286,-1.5113350125944836,4.799999999999999,0.9151304650920977,0.9643148993395873,0.9149855276286856
all cities,vicuna,21,7.842857142857143,12.785714285714286,4.942857142857142,63.02367941712201,5.885714285714285,0.9392296214090075,0.9628587195400621,0.903445424134699
gauges passing QC,(pooled),165,11.601818181818182,15.396969696969697,3.7951515151515154,32.71169618137178,4.969090909090908,0.9177832920338359,0.9659700416676318,0.906301447861554
gauges passing QC,andacollo,21,12.595238095238095,17.16190476190476,4.566666666666667,36.257088846880904,4.580952380952381,0.9690457267289249,0.9856609457345423,0.8993150282147812
gauges passing QC,combarbala,21,14.495238095238097,16.923809523809524,2.4285714285714284,16.75427069645201,2.4285714285714284,0.9974527355053752,0.9975192824223399,0.9663407871708692
gauges passing QC,illapel,21,11.485714285714286,13.685714285714287,2.1999999999999997,19.15422885572142,4.590476190476191,0.9204730039862078,0.964597110966588,0.8042241216525817
gauges passing QC,la_serena,18,7.133333333333334,15.827777777777776,8.694444444444445,121.8847352024922,9.516666666666667,0.7283919162180854,0.92164497234361,0.9287231943789301
gauges passing QC,monte_patria,21,12.980952380952383,17.314285714285717,4.333333333333333,33.38224504768892,4.333333333333333,0.9650234846880764,0.9872711854511359,0.9401691290186024
gauges passing QC,ovalle,21,10.519047619047619,14.642857142857142,4.123809523809523,39.20325939339067,4.2666666666666675,0.9584780719805515,0.9796096841309967,0.9098639455782311
gauges passing QC,salamanca,21,15.123809523809525,14.895238095238094,-0.2285714285714286,-1.5113350125944836,4.799999999999999,0.9151304650920977,0.9643148993395873,0.9149855276286856
gauges passing QC,vicuna,21,7.842857142857143,12.785714285714286,4.942857142857142,63.02367941712201,5.885714285714285,0.9392296214090075,0.9628587195400621,0.903445424134699
