metric,model,lead_days,truth_a,truth_b,n,n_cities,n_dates,value_grid,value_gauge,difference,bootstrap_se,sigma,verdict,sign_flip,value_era5
far,gfs_seamless,3,grid,era5,441,21,21,0.1076923076923077,,0.038461538461538464,0.022726476572692708,1.692366977279374,robust,False,0.06923076923076923
mae_mm,gfs_seamless,4,grid,era5,441,21,21,7.3244897959183675,,-0.35827664399093084,0.7060798017927538,0.5074166448059522,robust,False,7.682766439909298
bias_mm,gfs_seamless,4,grid,era5,441,21,21,-4.95124716553288,,0.2390022675736958,0.8138997913873793,0.2936507296141345,robust,False,-5.190249433106576
pod,gfs_seamless,4,grid,era5,441,21,21,0.7086092715231788,,-0.02472406181015452,0.016958705456735897,1.4578979435210526,robust,False,0.7333333333333333
far,gfs_seamless,4,grid,era5,441,21,21,0.10084033613445378,,0.025210084033613453,0.031241673510195092,0.8069376957475293,robust,False,0.07563025210084033
mae_mm,gfs_seamless,5,grid,era5,441,21,21,10.577551020408162,,-0.24897959183673635,0.7625525283025064,0.3265081192386599,robust,False,10.826530612244898
bias_mm,gfs_seamless,5,grid,era5,441,21,21,-8.634240362811791,,0.2390022675736958,0.7820083327223559,0.30562624152823586,robust,False,-8.873242630385487
pod,gfs_seamless,5,grid,era5,441,21,21,0.543046357615894,,0.003046357615894002,0.017551218336757976,0.17356958117909885,robust,False,0.54
far,gfs_seamless,5,grid,era5,441,21,21,0.10869565217391304,,-0.010869565217391311,0.05338409183471668,0.20361056719002998,robust,False,0.11956521739130435
mae_mm,gfs_seamless,6,grid,era5,441,21,21,11.343537414965986,,-0.30521541950113473,0.7866465039763237,0.3879956472930833,robust,False,11.648752834467121
bias_mm,gfs_seamless,6,grid,era5,441,21,21,-8.907709750566895,,0.2390022675736958,0.7701833369226719,0.31031866844672096,robust,False,-9.14671201814059
pod,gfs_seamless,6,grid,era5,441,21,21,0.5231788079470199,,0.023178807947019875,0.019968352710895605,1.1607771698850504,robust,False,0.5
far,gfs_seamless,6,grid,era5,441,21,21,0.20202020202020202,,-0.040404040404040414,0.046434615722287825,0.8701275928648886,robust,False,0.24242424242424243
mae_mm,gfs_seamless,7,grid,era5,441,21,21,11.606575963718821,,-0.44988662131519064,0.7858988208397064,0.57244852566963,robust,False,12.056462585034012
bias_mm,gfs_seamless,7,grid,era5,441,21,21,-9.672789115646259,,0.23900226757369758,0.7641676082845719,0.31276157871990623,robust,False,-9.911791383219956
pod,gfs_seamless,7,grid,era5,441,21,21,0.33112582781456956,,0.011125827814569555,0.02330475922686411,0.477405825405159,robust,False,0.32
far,gfs_seamless,7,grid,era5,441,21,21,0.2537313432835821,,-0.02985074626865669,0.07167235188147293,0.41648900147747225,robust,False,0.2835820895522388
mae_mm,icon_seamless,1,grid,era5,441,21,21,6.331972789115646,,-0.23401360544217642,0.6864041239958446,0.34092686401690836,robust,False,6.5659863945578225
bias_mm,icon_seamless,1,grid,era5,441,21,21,-2.7002267573696144,,0.23900226757369625,0.7774658545208168,0.3074119154994953,robust,False,-2.9392290249433106
pod,icon_seamless,1,grid,era5,441,21,21,0.8344370860927153,,-0.018896247240618114,0.022405523667978895,0.8433744964249105,robust,False,0.8533333333333334
far,icon_seamless,1,grid,era5,441,21,21,0.05263157894736842,,0.015037593984962405,0.023486792746146613,0.6402574479833806,robust,False,0.03759398496240601
mae_mm,icon_seamless,2,grid,era5,441,21,21,7.170521541950113,,-0.3088435374149654,0.6971429451950443,0.4430132149276189,robust,False,7.4793650793650786
bias_mm,icon_seamless,2,grid,era5,441,21,21,-3.43265306122449,,0.23900226757369625,0.7604254166358903,0.3143007352792578,robust,False,-3.6716553287981863
pod,icon_seamless,2,grid,era5,441,21,21,0.7483443708609272,,-0.01165562913907281,0.016010038321900268,0.7280200649569324,robust,False,0.76
far,icon_seamless,2,grid,era5,441,21,21,0.08870967741935484,,0.008064516129032265,0.024975384128699964,0.32289858235914326,robust,False,0.08064516129032258
mae_mm,icon_seamless,3,grid,era5,441,21,21,6.360997732426305,,-0.31746031746031633,0.6812496910917405,0.46599700757525264,robust,False,6.678458049886621
bias_mm,icon_seamless,3,grid,era5,441,21,21,-2.905215419501134,,0.2390022675736958,0.7946441423272601,0.3007664120869678,robust,False,-3.1442176870748297
pod,icon_seamless,3,grid,era5,441,21,21,0.7880794701986755,,-0.01192052980132452,0.013524406426569859,0.881408723262384,robust,False,0.8
far,icon_seamless,3,grid,era5,441,21,21,0.0916030534351145,,0.007633587786259541,0.02961475157162576,0.25776301948024344,robust,False,0.08396946564885496
mae_mm,icon_seamless,4,grid,era5,441,21,21,7.885714285714285,,-0.19410430839002313,0.6939406823631038,0.2797131128398929,robust,False,8.079818594104308
bias_mm,icon_seamless,4,grid,era5,441,21,21,-2.6807256235827666,,0.2390022675736958,0.770537561078759,0.31017601171718434,robust,False,-2.9197278911564624
pod,icon_seamless,4,grid,era5,441,21,21,0.7615894039735099,,-0.01841059602649009,0.011020286305043304,1.6706095936967351,robust,False,0.78
far,icon_seamless,4,grid,era5,441,21,21,0.15441176470588236,,0.01470588235294118,0.027759621181901263,0.5297580343974265,robust,False,0.13970588235294118
mae_mm,icon_seamless,5,grid,era5,441,21,21,7.4229024943310655,,-0.9020408163265294,0.6868246274755267,1.3133495513142055,robust,False,8.324943310657595
bias_mm,icon_seamless,5,grid,era5,441,21,21,-3.6424036281179135,,0.2390022675736967,0.7902732447541597,0.3024299116289153,robust,False,-3.88140589569161
pod,icon_seamless,5,grid,era5,441,21,21,0.7086092715231788,,0.001942604856512098,0.013721759708581022,0.14157111753657026,robust,False,0.7066666666666667
far,icon_seamless,5,grid,era5,441,21,21,0.2074074074074074,,-0.007407407407407418,0.040598194838080255,0.18245657071578525,robust,False,0.21481481481481482
mae_mm,icon_seamless,6,grid,era5,441,21,21,9.153514739229026,,0.13242630385487608,0.4601445998882134,0.2877928022779089,robust,False,9.02108843537415
bias_mm,icon_seamless,6,grid,era5,441,21,21,-1.135374149659864,,0.23900226757369603,0.7518902452657298,0.31786855738396885,robust,False,-1.37437641723356
pod,icon_seamless,6,grid,era5,441,21,21,0.7880794701986755,,-0.00525386313465781,0.008333764913716771,0.6304309263644254,robust,False,0.7933333333333333
far,icon_seamless,6,grid,era5,441,21,21,0.3081395348837209,,0.0,0.027430369460843193,0.0,robust,False,0.3081395348837209
