subset,truth,model,lead_days,n,mae_mm,bias_mm,pod,far,base_rate,brier,bss
gauge-covered city-days,gauge,best_match,1,438,4.70379646662318,2.079160676233964,0.9375,0.1836734693877551,,,
gauge-covered city-days,gauge,best_match,2,438,5.131786029571646,2.483726886279626,0.953125,0.18120805369127516,,,
gauge-covered city-days,gauge,best_match,3,438,6.403028908458362,2.418201772124374,0.9296875,0.2222222222222222,,,
gauge-covered city-days,gauge,best_match,4,438,7.381254566210046,2.012950630571863,0.8515625,0.2875816993464052,,,
gauge-covered city-days,gauge,best_match,5,438,6.805838649706458,1.5323570232659274,0.8203125,0.2708333333333333,,,
gauge-covered city-days,gauge,best_match,6,438,9.084976353555122,2.002448347466841,0.7578125,0.41566265060240964,,,
gauge-covered city-days,gauge,best_match,7,438,9.569160828440964,1.6241378451837356,0.765625,0.3987730061349693,,,
gauge-covered city-days,gauge,ecmwf_ifs025,1,438,5.068466394868449,3.1243661556860185,0.953125,0.19205298013245034,,,
gauge-covered city-days,gauge,ecmwf_ifs025,2,438,5.3276109915198955,2.8024483474668402,0.96875,0.16216216216216217,,,
gauge-covered city-days,gauge,ecmwf_ifs025,3,438,6.328354848880191,2.926420950206566,0.9375,0.21568627450980393,,,
gauge-covered city-days,gauge,ecmwf_ifs025,4,438,7.803558980213089,2.24285930637095,0.796875,0.2916666666666667,,,
gauge-covered city-days,gauge,ecmwf_ifs025,5,438,7.250880006523158,2.455873005001087,0.875,0.2679738562091503,,,
gauge-covered city-days,gauge,ecmwf_ifs025,6,438,9.358602359208524,2.4565579365079366,0.7890625,0.4093567251461988,,,
gauge-covered city-days,gauge,ecmwf_ifs025,7,438,9.574077245053273,1.9997086214394433,0.7578125,0.39375,,,
gauge-covered city-days,gauge,gfs_seamless,1,438,5.096391204609698,0.718658393128941,0.90625,0.13432835820895522,,,
gauge-covered city-days,gauge,gfs_seamless,2,438,5.963202685366384,0.23897802783213745,0.796875,0.17073170731707318,,,
gauge-covered city-days,gauge,gfs_seamless,3,438,5.970009078060447,1.2079277995216349,0.8515625,0.16153846153846155,,,
gauge-covered city-days,gauge,gfs_seamless,4,438,6.03318376821048,-1.7196977712546204,0.7421875,0.20168067226890757,,,
gauge-covered city-days,gauge,gfs_seamless,5,438,8.21026854751033,-5.424948912807132,0.546875,0.2391304347826087,,,
gauge-covered city-days,gauge,gfs_seamless,6,438,8.996846173081103,-5.715131561208958,0.5,0.3469387755102041,,,
gauge-covered city-days,gauge,gfs_seamless,7,438,9.09704175907806,-6.517186355729507,0.328125,0.36363636363636365,,,
gauge-covered city-days,gauge,icon_seamless,1,438,6.021027473363775,0.5599825940421832,0.8828125,0.15037593984962405,,,
gauge-covered city-days,gauge,icon_seamless,2,438,6.71180873015873,-0.18179822787562527,0.765625,0.20967741935483872,,,
gauge-covered city-days,gauge,icon_seamless,3,438,6.263242868014785,0.33327026527505943,0.8203125,0.1984732824427481,,,
gauge-covered city-days,gauge,icon_seamless,4,438,7.49995593607306,0.5634072515764296,0.78125,0.2647058823529412,,,
gauge-covered city-days,gauge,icon_seamless,5,438,6.846404511850403,-0.5046292781039358,0.71875,0.3082706766917293,,,
gauge-covered city-days,gauge,icon_seamless,6,438,8.802615775168515,2.0243661556860184,0.8046875,0.39766081871345027,,,
gauge-covered city-days,gauge,ensemble3,1,438,,,,,0.2922374429223744,0.0547945205479452,0.7350806451612903
gauge-covered city-days,gauge,ensemble3,2,438,,,,,0.2922374429223744,0.06468797564687977,0.6872479838709677
gauge-covered city-days,gauge,ensemble3,3,438,,,,,0.2922374429223744,0.0639269406392694,0.6909274193548387
gauge-covered city-days,gauge,ensemble3,4,438,,,,,0.2922374429223744,0.0971588026382547,0.5302587365591398
gauge-covered city-days,gauge,ensemble3,5,438,,,,,0.2922374429223744,0.10908168442415019,0.4726142473118279
gauge-covered city-days,gauge,ensemble3,6,438,,,,,0.2922374429223744,0.13901572805682394,0.32788978494623655
gauge-covered city-days,grid,best_match,1,438,3.8011415525114156,-1.1878995433789954,0.9072847682119205,0.06802721088435375,,,
gauge-covered city-days,grid,best_match,2,438,3.9445205479452055,-0.7833333333333334,0.9072847682119205,0.08053691275167785,,,
gauge-covered city-days,grid,best_match,3,438,5.672146118721462,-0.8488584474885846,0.9072847682119205,0.10457516339869281,,,
gauge-covered city-days,grid,best_match,4,438,7.125799086757991,-1.2541095890410958,0.8609271523178808,0.1503267973856209,,,
gauge-covered city-days,grid,best_match,5,438,7.108219178082191,-1.7347031963470319,0.8013245033112583,0.1597222222222222,,,
gauge-covered city-days,grid,best_match,6,438,9.848173515981735,-1.2646118721461186,0.7814569536423841,0.2891566265060241,,,
gauge-covered city-days,grid,best_match,7,438,10.681735159817352,-1.6429223744292236,0.7615894039735099,0.294478527607362,,,
gauge-covered city-days,grid,ecmwf_ifs025,1,438,3.644520547945206,-0.14269406392694053,0.9337748344370861,0.06622516556291391,,,
gauge-covered city-days,grid,ecmwf_ifs025,2,438,4.134018264840183,-0.4646118721461187,0.8940397350993378,0.08783783783783784,,,
gauge-covered city-days,grid,ecmwf_ifs025,3,438,5.394520547945206,-0.34063926940639255,0.9006622516556292,0.1111111111111111,,,
gauge-covered city-days,grid,ecmwf_ifs025,4,438,7.445205479452055,-1.0242009132420091,0.8079470198675497,0.1527777777777778,,,
gauge-covered city-days,grid,ecmwf_ifs025,5,438,7.278767123287672,-0.8111872146118723,0.847682119205298,0.16339869281045752,,,
gauge-covered city-days,grid,ecmwf_ifs025,6,438,10.16027397260274,-0.8105022831050226,0.8079470198675497,0.28654970760233917,,,
gauge-covered city-days,grid,ecmwf_ifs025,7,438,10.55867579908676,-1.2673515981735155,0.7483443708609272,0.29375,,,
gauge-covered city-days,grid,gfs_seamless,1,438,6.107305936073059,-2.548401826484018,0.8410596026490066,0.05223880597014925,,,
gauge-covered city-days,grid,gfs_seamless,2,438,6.268721461187215,-3.028082191780822,0.7350993377483444,0.0975609756097561,,,
gauge-covered city-days,grid,gfs_seamless,3,438,6.788356164383562,-2.0591324200913244,0.7682119205298014,0.1076923076923077,,,
gauge-covered city-days,grid,gfs_seamless,4,438,7.354337899543379,-4.98675799086758,0.7086092715231788,0.10084033613445378,,,
gauge-covered city-days,grid,gfs_seamless,5,438,10.629908675799086,-8.692009132420091,0.543046357615894,0.10869565217391304,,,
gauge-covered city-days,grid,gfs_seamless,6,438,11.387214611872148,-8.982191780821918,0.5231788079470199,0.19387755102040816,,,
gauge-covered city-days,grid,gfs_seamless,7,438,11.640867579908674,-9.784246575342467,0.33112582781456956,0.24242424242424243,,,
gauge-covered city-days,grid,icon_seamless,1,438,6.3636986301369864,-2.7070776255707765,0.8344370860927153,0.05263157894736842,,,
gauge-covered city-days,grid,icon_seamless,2,438,7.212328767123288,-3.448858447488585,0.7483443708609272,0.08870967741935484,,,
gauge-covered city-days,grid,icon_seamless,3,438,6.3780821917808215,-2.9337899543378994,0.7880794701986755,0.0916030534351145,,,
gauge-covered city-days,grid,icon_seamless,4,438,7.923287671232877,-2.703652968036529,0.7615894039735099,0.15441176470588236,,,
gauge-covered city-days,grid,icon_seamless,5,438,7.369406392694064,-3.771689497716895,0.7086092715231788,0.19548872180451127,,,
gauge-covered city-days,grid,icon_seamless,6,438,9.097488584474885,-1.2426940639269406,0.7880794701986755,0.30409356725146197,,,
gauge-covered city-days,grid,ensemble3,1,438,,,,,0.3447488584474886,0.04185692541856926,0.8147079862473176
gauge-covered city-days,grid,ensemble3,2,438,,,,,0.3447488584474886,0.0639269406392694,0.717008560814085
gauge-covered city-days,grid,ensemble3,3,438,,,,,0.3447488584474886,0.06012176560121766,0.7338532893370561
gauge-covered city-days,grid,ensemble3,4,438,,,,,0.3447488584474886,0.07813292744799595,0.6541215743283261
gauge-covered city-days,grid,ensemble3,5,438,,,,,0.3447488584474886,0.09614408929477423,0.574389859319596
gauge-covered city-days,grid,ensemble3,6,438,,,,,0.3447488584474886,0.1123795027904617,0.5025190176215859
gauge-covered city-days,era5,best_match,1,438,3.893607305936073,-1.436986301369863,0.9266666666666666,0.05442176870748299,,,
gauge-covered city-days,era5,best_match,2,438,4.605936073059361,-1.032420091324201,0.92,0.0738255033557047,,,
gauge-covered city-days,era5,best_match,3,438,5.7171232876712335,-1.0979452054794523,0.8866666666666667,0.13071895424836602,,,
gauge-covered city-days,era5,best_match,4,438,7.121004566210046,-1.5031963470319636,0.84,0.17647058823529413,,,
gauge-covered city-days,era5,best_match,5,438,7.198401826484018,-1.9837899543378994,0.7733333333333333,0.19444444444444445,,,
gauge-covered city-days,era5,best_match,6,438,9.71552511415525,-1.5136986301369864,0.7733333333333333,0.30120481927710846,,,
gauge-covered city-days,era5,best_match,7,438,10.685616438356163,-1.8920091324200914,0.7533333333333333,0.3067484662576687,,,
gauge-covered city-days,era5,ecmwf_ifs025,1,438,3.6863013698630134,-0.39178082191780816,0.94,0.06622516556291391,,,
gauge-covered city-days,era5,ecmwf_ifs025,2,438,4.483105022831051,-0.7136986301369863,0.9066666666666666,0.08108108108108109,,,
gauge-covered city-days,era5,ecmwf_ifs025,3,438,5.671917808219178,-0.5897260273972602,0.9133333333333333,0.10457516339869281,,,
gauge-covered city-days,era5,ecmwf_ifs025,4,438,7.32579908675799,-1.273287671232877,0.7933333333333333,0.1736111111111111,,,
gauge-covered city-days,era5,ecmwf_ifs025,5,438,7.392237442922375,-1.06027397260274,0.84,0.17647058823529413,,,
gauge-covered city-days,era5,ecmwf_ifs025,6,438,9.833561643835615,-1.0595890410958901,0.8066666666666666,0.29239766081871343,,,
gauge-covered city-days,era5,ecmwf_ifs025,7,438,10.673515981735159,-1.516438356164383,0.7466666666666667,0.3,,,
gauge-covered city-days,era5,gfs_seamless,1,438,6.0554794520547945,-2.7974885844748854,0.86,0.03731343283582089,,,
gauge-covered city-days,era5,gfs_seamless,2,438,6.444748858447489,-3.27716894977169,0.76,0.07317073170731707,,,
gauge-covered city-days,era5,gfs_seamless,3,438,6.567579908675799,-2.3082191780821915,0.8066666666666666,0.06923076923076923,,,
gauge-covered city-days,era5,gfs_seamless,4,438,7.718493150684931,-5.235844748858448,0.7333333333333333,0.07563025210084033,,,
gauge-covered city-days,era5,gfs_seamless,5,438,10.88401826484018,-8.941095890410958,0.54,0.11956521739130435,,,
gauge-covered city-days,era5,gfs_seamless,6,438,11.697945205479455,-9.231278538812784,0.5,0.23469387755102042,,,
gauge-covered city-days,era5,gfs_seamless,7,438,12.08538812785388,-10.033333333333335,0.32,0.2727272727272727,,,
gauge-covered city-days,era5,icon_seamless,1,438,6.605479452054794,-2.9561643835616436,0.8533333333333334,0.03759398496240601,,,
gauge-covered city-days,era5,icon_seamless,2,438,7.529452054794521,-3.6979452054794515,0.76,0.08064516129032258,,,
gauge-covered city-days,era5,icon_seamless,3,438,6.701141552511414,-3.182876712328767,0.8,0.08396946564885496,,,
gauge-covered city-days,era5,icon_seamless,4,438,8.122146118721462,-2.952739726027397,0.78,0.13970588235294118,,,
gauge-covered city-days,era5,icon_seamless,5,438,8.26917808219178,-4.020776255707762,0.7066666666666667,0.20300751879699247,,,
gauge-covered city-days,era5,icon_seamless,6,438,8.9675799086758,-1.491780821917808,0.7933333333333333,0.30409356725146197,,,
gauge-covered city-days,era5,ensemble3,1,438,,,,,0.3424657534246575,0.03348554033485541,0.8512962962962962
gauge-covered city-days,era5,ensemble3,2,438,,,,,0.3424657534246575,0.054033485540334866,0.7600462962962962
gauge-covered city-days,era5,ensemble3,3,438,,,,,0.3424657534246575,0.047184170471841716,0.7904629629629629
gauge-covered city-days,era5,ensemble3,4,438,,,,,0.3424657534246575,0.0728056823947235,0.6766820987654321
gauge-covered city-days,era5,ensemble3,5,438,,,,,0.3424657534246575,0.099949264332826,0.5561419753086418
gauge-covered city-days,era5,ensemble3,6,438,,,,,0.3424657534246575,0.11770674784373415,0.4772839506172838
