model,lead_group,forecast_bin,n,mean_forecast_mm,mean_observed_mm,mean_error_mm,mae_mm,q05,q16,q50,q84,q95,width68_mm,width90_mm,truth
best_match,1,f = 0,194,0.0,0.042783505154639176,0.042783505154639176,0.042783505154639176,0.0,0.0,0.0,0.0,0.2,0.0,0.2,grid
best_match,1,0 < f < 10,101,2.5574257425742575,4.1623762376237625,1.6049504950495053,2.5811881188118813,-2.4,-0.9,0.19999999999999996,4.200000000000001,11.099999999999998,5.100000000000001,13.499999999999998,grid
best_match,1,f >= 10,146,36.73082191780822,39.1541095890411,2.4232876712328766,9.590410958904108,-14.65,-8.54,0.45000000000000284,13.839999999999996,25.675000000000004,22.379999999999995,40.325,grid
best_match,2,f = 0,201,0.0,0.15522388059701492,0.15522388059701492,0.15522388059701492,0.0,0.0,0.0,0.0,0.6,0.0,0.6,grid
best_match,2,0 < f < 10,93,2.5526881720430104,4.283870967741936,1.7311827956989245,2.8215053763440863,-2.6599999999999997,-1.2,0.19999999999999996,4.756,9.879999999999994,5.956,12.539999999999994,grid
best_match,2,f >= 10,147,37.82312925170068,38.881632653061224,1.0585034013605443,9.79047619047619,-17.400000000000002,-10.127999999999997,-0.30000000000001137,12.991999999999999,24.70999999999998,23.119999999999997,42.109999999999985,grid
best_match,3,f = 0,209,0.0,0.2885167464114832,0.2885167464114832,0.2885167464114832,0.0,0.0,0.0,0.0719999999999999,1.0,0.0719999999999999,1.0,grid
best_match,3,0 < f < 10,79,3.0936708860759494,4.717721518987342,1.6240506329113917,3.5227848101265833,-4.800000000000001,-2.204,-2.220446049250313e-16,6.2759999999999945,11.239999999999997,8.479999999999995,16.04,grid
best_match,3,f >= 10,153,36.122875816993464,37.33464052287581,1.211764705882353,14.057516339869283,-29.239999999999995,-13.303999999999998,0.5,18.168,35.46000000000001,31.471999999999998,64.7,grid
best_match,4,f = 0,184,0.0,0.08043478260869566,0.08043478260869566,0.08043478260869566,0.0,0.0,0.0,0.0,0.4,0.0,0.4,grid
