model,lead_days,n,hits,misses,false_alarms,base_rate,pod,far,csi,threshold_mm,truth
best_match,4,438,109,19,44,0.2922374429223744,0.8515625,0.2875816993464052,0.6337209302325582,10.0,gauge
best_match,5,438,105,23,39,0.2922374429223744,0.8203125,0.2708333333333333,0.6287425149700598,10.0,gauge
best_match,6,438,97,31,69,0.2922374429223744,0.7578125,0.41566265060240964,0.49238578680203043,10.0,gauge
best_match,7,438,98,30,65,0.2922374429223744,0.765625,0.3987730061349693,0.5077720207253886,10.0,gauge
ecmwf_ifs025,1,438,122,6,29,0.2922374429223744,0.953125,0.19205298013245034,0.7770700636942676,10.0,gauge
ecmwf_ifs025,2,438,124,4,24,0.2922374429223744,0.96875,0.16216216216216217,0.8157894736842105,10.0,gauge
ecmwf_ifs025,3,438,120,8,33,0.2922374429223744,0.9375,0.21568627450980393,0.7453416149068323,10.0,gauge
ecmwf_ifs025,4,438,102,26,42,0.2922374429223744,0.796875,0.2916666666666667,0.6,10.0,gauge
ecmwf_ifs025,5,438,112,16,41,0.2922374429223744,0.875,0.2679738562091503,0.6627218934911243,10.0,gauge
ecmwf_ifs025,6,438,101,27,70,0.2922374429223744,0.7890625,0.4093567251461988,0.51010101010101,10.0,gauge
ecmwf_ifs025,7,438,97,31,63,0.2922374429223744,0.7578125,0.39375,0.5078534031413613,10.0,gauge
gfs_seamless,1,438,116,12,18,0.2922374429223744,0.90625,0.13432835820895522,0.7945205479452054,10.0,gauge
gfs_seamless,2,438,102,26,21,0.2922374429223744,0.796875,0.17073170731707318,0.6845637583892618,10.0,gauge
gfs_seamless,3,438,109,19,21,0.2922374429223744,0.8515625,0.16153846153846155,0.7315436241610739,10.0,gauge
gfs_seamless,4,438,95,33,24,0.2922374429223744,0.7421875,0.20168067226890757,0.625,10.0,gauge
gfs_seamless,5,438,70,58,22,0.2922374429223744,0.546875,0.2391304347826087,0.4666666666666667,10.0,gauge
gfs_seamless,6,438,64,64,34,0.2922374429223744,0.5,0.3469387755102041,0.3950617283950617,10.0,gauge
gfs_seamless,7,438,42,86,24,0.2922374429223744,0.328125,0.36363636363636365,0.27631578947368424,10.0,gauge
icon_seamless,1,438,113,15,20,0.2922374429223744,0.8828125,0.15037593984962405,0.7635135135135135,10.0,gauge
icon_seamless,2,438,98,30,26,0.2922374429223744,0.765625,0.20967741935483872,0.6363636363636364,10.0,gauge
icon_seamless,3,438,105,23,26,0.2922374429223744,0.8203125,0.1984732824427481,0.6818181818181818,10.0,gauge
icon_seamless,4,438,100,28,36,0.2922374429223744,0.78125,0.2647058823529412,0.6097560975609756,10.0,gauge
icon_seamless,5,438,92,36,41,0.2922374429223744,0.71875,0.3082706766917293,0.5443786982248521,10.0,gauge
icon_seamless,6,438,103,25,68,0.2922374429223744,0.8046875,0.39766081871345027,0.5255102040816326,10.0,gauge
best_match,1,438,76,7,32,0.18949771689497716,0.9156626506024096,0.2962962962962963,0.6608695652173913,20.0,gauge
best_match,2,438,76,7,37,0.18949771689497716,0.9156626506024096,0.3274336283185841,0.6333333333333333,20.0,gauge
best_match,3,438,71,12,38,0.18949771689497716,0.8554216867469879,0.3486238532110092,0.5867768595041323,20.0,gauge
best_match,4,438,64,19,38,0.18949771689497716,0.7710843373493976,0.37254901960784315,0.5289256198347108,20.0,gauge
best_match,5,438,65,18,33,0.18949771689497716,0.7831325301204819,0.336734693877551,0.5603448275862069,20.0,gauge
best_match,6,438,55,28,49,0.18949771689497716,0.6626506024096386,0.47115384615384615,0.4166666666666667,20.0,gauge
best_match,7,438,56,27,53,0.18949771689497716,0.6746987951807228,0.48623853211009177,0.4117647058823529,20.0,gauge
ecmwf_ifs025,1,438,79,4,35,0.18949771689497716,0.9518072289156626,0.30701754385964913,0.6694915254237288,20.0,gauge
ecmwf_ifs025,2,438,77,6,37,0.18949771689497716,0.927710843373494,0.32456140350877194,0.6416666666666667,20.0,gauge
ecmwf_ifs025,3,438,70,13,41,0.18949771689497716,0.8433734939759037,0.36936936936936937,0.5645161290322581,20.0,gauge
ecmwf_ifs025,4,438,60,23,39,0.18949771689497716,0.7228915662650602,0.3939393939393939,0.4918032786885246,20.0,gauge
ecmwf_ifs025,5,438,65,18,42,0.18949771689497716,0.7831325301204819,0.3925233644859813,0.52,20.0,gauge
ecmwf_ifs025,6,438,53,30,59,0.18949771689497716,0.6385542168674698,0.5267857142857143,0.3732394366197183,20.0,gauge
ecmwf_ifs025,7,438,59,24,56,0.18949771689497716,0.7108433734939759,0.48695652173913045,0.4244604316546763,20.0,gauge
