model,lead_days,n,hits,misses,false_alarms,base_rate,pod,far,csi,threshold_mm
best_match,1,300,133,11,5,0.48,0.9236111111111112,0.036231884057971016,0.8926174496644296,1.0
best_match,2,300,130,14,4,0.48,0.9027777777777778,0.029850746268656716,0.8783783783783784,1.0
best_match,3,300,128,16,10,0.48,0.8888888888888888,0.07246376811594203,0.8311688311688312,1.0
best_match,4,300,136,8,15,0.48,0.9444444444444444,0.09933774834437085,0.8553459119496856,1.0
best_match,5,300,135,9,25,0.48,0.9375,0.15625,0.7988165680473372,1.0
best_match,6,300,137,7,27,0.48,0.9513888888888888,0.16463414634146342,0.8011695906432749,1.0
best_match,7,300,122,22,34,0.48,0.8472222222222222,0.21794871794871795,0.6853932584269663,1.0
ecmwf_ifs025,1,300,136,8,7,0.48,0.9444444444444444,0.04895104895104895,0.9006622516556292,1.0
ecmwf_ifs025,2,300,130,14,4,0.48,0.9027777777777778,0.029850746268656716,0.8783783783783784,1.0
ecmwf_ifs025,3,300,128,16,8,0.48,0.8888888888888888,0.058823529411764705,0.8421052631578947,1.0
ecmwf_ifs025,4,300,132,12,13,0.48,0.9166666666666666,0.0896551724137931,0.8407643312101911,1.0
ecmwf_ifs025,5,300,134,10,24,0.48,0.9305555555555556,0.1518987341772152,0.7976190476190477,1.0
ecmwf_ifs025,6,300,137,7,28,0.48,0.9513888888888888,0.1696969696969697,0.7965116279069767,1.0
ecmwf_ifs025,7,300,127,17,34,0.48,0.8819444444444444,0.2111801242236025,0.7134831460674157,1.0
gfs_seamless,1,300,120,24,7,0.48,0.8333333333333334,0.05511811023622047,0.7947019867549668,1.0
gfs_seamless,2,300,121,23,9,0.48,0.8402777777777778,0.06923076923076923,0.7908496732026143,1.0
gfs_seamless,3,300,123,21,10,0.48,0.8541666666666666,0.07518796992481203,0.7987012987012987,1.0
gfs_seamless,4,300,118,26,14,0.48,0.8194444444444444,0.10606060606060606,0.7468354430379747,1.0
gfs_seamless,5,300,112,32,13,0.48,0.7777777777777778,0.104,0.7133757961783439,1.0
gfs_seamless,6,300,101,43,15,0.48,0.7013888888888888,0.12931034482758622,0.6352201257861635,1.0
gfs_seamless,7,300,111,33,19,0.48,0.7708333333333334,0.14615384615384616,0.6809815950920245,1.0
icon_seamless,1,300,125,19,4,0.48,0.8680555555555556,0.031007751937984496,0.8445945945945946,1.0
icon_seamless,2,300,132,12,6,0.48,0.9166666666666666,0.043478260869565216,0.88,1.0
icon_seamless,3,300,131,13,9,0.48,0.9097222222222222,0.06428571428571428,0.8562091503267973,1.0
icon_seamless,4,300,130,14,18,0.48,0.9027777777777778,0.12162162162162163,0.8024691358024691,1.0
icon_seamless,5,300,133,11,28,0.48,0.9236111111111112,0.17391304347826086,0.7732558139534884,1.0
icon_seamless,6,300,135,9,39,0.48,0.9375,0.22413793103448276,0.7377049180327869,1.0
best_match,1,300,98,4,7,0.34,0.9607843137254902,0.06666666666666667,0.8990825688073395,10.0
best_match,2,300,97,5,9,0.34,0.9509803921568627,0.08490566037735849,0.8738738738738738,10.0
best_match,3,300,96,6,11,0.34,0.9411764705882353,0.102803738317757,0.8495575221238938,10.0
best_match,4,300,88,14,19,0.34,0.8627450980392157,0.17757009345794392,0.7272727272727273,10.0
best_match,5,300,85,17,19,0.34,0.8333333333333334,0.18269230769230768,0.7024793388429752,10.0
best_match,6,300,85,17,37,0.34,0.8333333333333334,0.30327868852459017,0.6115107913669064,10.0
best_match,7,300,78,24,22,0.34,0.7647058823529411,0.22,0.6290322580645161,10.0
ecmwf_ifs025,1,300,98,4,7,0.34,0.9607843137254902,0.06666666666666667,0.8990825688073395,10.0
ecmwf_ifs025,2,300,95,7,9,0.34,0.9313725490196079,0.08653846153846154,0.8558558558558559,10.0
ecmwf_ifs025,3,300,96,6,14,0.34,0.9411764705882353,0.12727272727272726,0.8275862068965517,10.0
ecmwf_ifs025,4,300,79,23,17,0.34,0.7745098039215687,0.17708333333333334,0.6638655462184874,10.0
ecmwf_ifs025,5,300,89,13,21,0.34,0.8725490196078431,0.19090909090909092,0.7235772357723578,10.0
ecmwf_ifs025,6,300,89,13,37,0.34,0.8725490196078431,0.29365079365079366,0.6402877697841727,10.0
ecmwf_ifs025,7,300,78,24,22,0.34,0.7647058823529411,0.22,0.6290322580645161,10.0
gfs_seamless,1,300,91,11,5,0.34,0.8921568627450981,0.052083333333333336,0.8504672897196262,10.0
gfs_seamless,2,300,81,21,11,0.34,0.7941176470588235,0.11956521739130435,0.7168141592920354,10.0
gfs_seamless,3,300,83,19,11,0.34,0.8137254901960784,0.11702127659574468,0.7345132743362832,10.0
gfs_seamless,4,300,74,28,10,0.34,0.7254901960784313,0.11904761904761904,0.6607142857142857,10.0
gfs_seamless,5,300,60,42,7,0.34,0.5882352941176471,0.1044776119402985,0.5504587155963303,10.0
gfs_seamless,6,300,46,56,8,0.34,0.45098039215686275,0.14814814814814814,0.41818181818181815,10.0
gfs_seamless,7,300,36,66,9,0.34,0.35294117647058826,0.2,0.32432432432432434,10.0
icon_seamless,1,300,91,11,5,0.34,0.8921568627450981,0.052083333333333336,0.8504672897196262,10.0
icon_seamless,2,300,80,22,9,0.34,0.7843137254901961,0.10112359550561797,0.7207207207207207,10.0
icon_seamless,3,300,81,21,9,0.34,0.7941176470588235,0.1,0.7297297297297297,10.0
icon_seamless,4,300,86,16,17,0.34,0.8431372549019608,0.1650485436893204,0.7226890756302521,10.0
icon_seamless,5,300,77,25,24,0.34,0.7549019607843137,0.2376237623762376,0.6111111111111112,10.0
icon_seamless,6,300,81,21,33,0.34,0.7941176470588235,0.2894736842105263,0.6,10.0
best_match,1,300,76,7,4,0.27666666666666667,0.9156626506024096,0.05,0.8735632183908046,20.0
