model,lead_days,n,precip_mae_mm,precip_bias_mm,precip_rmse_mm,gust_mae_kmh
best_match,1,300.0,3.9986666666666664,-1.401333333333333,8.803798422650683,8.716333333333333
best_match,2,300.0,4.396,-1.08,9.301025033116868,9.703666666666665
best_match,3,300.0,6.6306666666666665,-1.2426666666666668,13.192518081599637,9.646
best_match,4,300.0,8.239333333333335,-1.9779999999999995,15.916534379904022,14.697333333333336
best_match,5,300.0,7.986000000000001,-2.064,14.630094554262683,12.341333333333331
best_match,6,300.0,10.590666666666666,-2.0513333333333335,19.548230951503854,15.109000000000002
best_match,7,300.0,10.733666666666668,-4.086333333333334,19.617090338104003,14.698666666666668
ecmwf_ifs025,1,300.0,3.9836666666666662,-0.26233333333333325,8.156582209070987,
ecmwf_ifs025,2,300.0,4.413333333333333,-0.9033333333333333,9.085655360695416,
ecmwf_ifs025,3,300.0,6.053333333333334,-0.6893333333333331,12.495996692274423,
ecmwf_ifs025,4,300.0,8.389,-2.126333333333333,16.82789450089741,
ecmwf_ifs025,5,300.0,8.012666666666668,-1.2813333333333334,14.94226667321037,
ecmwf_ifs025,6,300.0,10.700666666666667,-1.735333333333333,19.60140131045057,
ecmwf_ifs025,7,300.0,10.536666666666667,-3.485333333333333,19.148032100801725,
gfs_seamless,1,300.0,6.922666666666667,-2.4006666666666665,14.518027873417703,11.457999999999998
gfs_seamless,2,300.0,7.151666666666666,-3.0416666666666665,14.586456046620784,12.385666666666665
gfs_seamless,3,300.0,7.735666666666666,-1.939,15.07580954155807,13.710333333333335
gfs_seamless,4,300.0,8.253666666666668,-5.427,15.889477650319408,14.105
gfs_seamless,5,300.0,11.901,-10.617,23.091330985169883,16.086000000000002
gfs_seamless,6,300.0,12.882000000000001,-11.908000000000001,24.872591340670557,16.112666666666666
gfs_seamless,7,300.0,12.991666666666667,-11.577,25.714813499874605,14.698666666666668
icon_seamless,1,300.0,7.49,-2.5066666666666664,15.136813843518501,8.716333333333333
icon_seamless,2,300.0,8.440333333333333,-3.4863333333333335,17.11937985636941,9.703666666666665
icon_seamless,3,300.0,7.437000000000001,-3.720333333333334,15.256099326717386,9.646
icon_seamless,4,300.0,9.004666666666667,-3.325333333333333,16.97166265671497,14.697333333333336
icon_seamless,5,300.0,8.330333333333334,-3.7476666666666674,14.98354097001106,12.341333333333331
icon_seamless,6,300.0,9.923666666666666,-2.3076666666666665,17.465515547310172,15.109000000000002
