threshold_mm,lead_days,n,base_rate,brier,brier_climatology,bss
1.0,1,175,0.5371428571428571,0.06476190476190477,0.2486204081632653,0.7395149286402241
1.0,2,175,0.5371428571428571,0.06158730158730159,0.2486204081632653,0.752283804687272
1.0,3,175,0.5371428571428571,0.09523809523809522,0.2486204081632653,0.616933718588565
1.0,4,175,0.5371428571428571,0.10539682539682539,0.2486204081632653,0.5760733152380119
1.0,5,175,0.5371428571428571,0.09841269841269841,0.2486204081632653,0.6041648425415171
1.0,6,175,0.5371428571428571,0.13904761904761906,0.2486204081632653,0.44072322913930473
10.0,1,175,0.33714285714285713,0.04063492063492064,0.22347755102040814,0.8181700110396779
10.0,2,175,0.33714285714285713,0.060317460317460325,0.22347755102040814,0.7300961101370218
10.0,3,175,0.33714285714285713,0.06412698412698414,0.22347755102040814,0.7130495486719917
10.0,4,175,0.33714285714285713,0.08571428571428573,0.22347755102040814,0.6164523670368205
10.0,5,175,0.33714285714285713,0.1326984126984127,0.22347755102040814,0.4062114423014481
10.0,6,175,0.33714285714285713,0.14984126984126983,0.22347755102040814,0.32950191570881227
20.0,1,175,0.22857142857142856,0.05714285714285714,0.1763265306122449,0.6759259259259259
20.0,2,175,0.22857142857142856,0.06476190476190477,0.1763265306122449,0.632716049382716
20.0,3,175,0.22857142857142856,0.0761904761904762,0.1763265306122449,0.5679012345679012
20.0,4,175,0.22857142857142856,0.10984126984126984,0.1763265306122449,0.3770576131687243
20.0,5,175,0.22857142857142856,0.12253968253968253,0.1763265306122449,0.3050411522633746
20.0,6,175,0.22857142857142856,0.13142857142857145,0.1763265306122449,0.25462962962962954
