model,lead_days,n,precip_mae_mm,precip_bias_mm,precip_rmse_mm,gust_mae_kmh
best_match,1,176.0,3.5818181818181825,-1.1977272727272728,7.0997359105814635,7.732954545454546
best_match,2,176.0,4.607386363636363,-0.3267045454545452,8.705037073703101,9.036363636363635
best_match,3,176.0,6.094886363636363,-0.4562500000000002,10.830153087980378,9.15284090909091
best_match,4,176.0,7.686931818181819,-0.31306818181818136,13.561356780472694,11.554545454545455
best_match,5,176.0,7.231249999999999,-1.5414772727272725,12.332806858132498,12.546022727272726
best_match,6,176.0,10.553977272727273,-0.21988636363636374,18.47088772045941,12.864204545454545
best_match,7,176.0,9.505681818181818,-3.877272727272727,18.00848284963102,15.672159090909092
ecmwf_ifs025,1,175.0,3.5617142857142854,0.03257142857142867,6.532096578762879,
ecmwf_ifs025,2,175.0,4.3108571428571425,-0.08228571428571436,7.802981115299094,
ecmwf_ifs025,3,175.0,5.403428571428572,0.1611428571428571,9.534251038080697,
ecmwf_ifs025,4,175.0,7.634857142857143,-0.27942857142857197,13.330962884524562,
ecmwf_ifs025,5,175.0,7.531428571428571,-0.9462857142857143,13.062657791254756,
ecmwf_ifs025,6,175.0,10.485714285714286,0.2605714285714288,18.012620972132687,
ecmwf_ifs025,7,175.0,9.956000000000001,-3.4919999999999995,18.09219405473769,
gfs_seamless,1,175.0,5.734857142857143,-0.29599999999999993,12.008749191437763,10.837714285714286
gfs_seamless,2,175.0,5.976571428571428,-0.28514285714285703,11.119612017897541,11.365142857142859
gfs_seamless,3,175.0,6.980571428571429,-0.5851428571428575,13.58510528903938,12.809142857142856
gfs_seamless,4,175.0,7.301714285714286,-3.277714285714286,13.979854893994531,14.11085714285714
gfs_seamless,5,175.0,9.679428571428572,-8.878285714285715,19.58327420457132,15.229714285714286
gfs_seamless,6,175.0,10.67542857142857,-9.902857142857142,21.184136922302432,15.950285714285712
gfs_seamless,7,175.0,10.488000000000001,-8.218285714285717,20.954704892764706,15.654857142857143
icon_seamless,1,175.0,5.793142857142857,-0.5794285714285712,11.680768076506906,7.723428571428571
icon_seamless,2,175.0,6.669714285714285,-0.6617142857142858,13.301028961271056,9.038285714285715
icon_seamless,3,175.0,6.906857142857142,-2.863428571428572,13.823646407514914,9.145142857142854
icon_seamless,4,175.0,8.405714285714286,-2.2034285714285717,16.120482091337806,11.585714285714287
icon_seamless,5,175.0,8.094857142857142,-1.451428571428571,13.550789117770437,12.566285714285716
icon_seamless,6,175.0,10.363999999999999,-0.468,16.757400071098655,12.883999999999999
